Height,Weight
187.57,109.72
174.71,73.62
188.24,96.5
182.2,99.81
177.5,93.6
170.82,69.04
174.71,83.43
173.61,76.19
170.23,79.8
161.18,70.94
180.84,84.64
181.97,96.95
164.51,75.81
175.98,85.93
175.88,84.57
171.82,78.1
183.94,88.92
162.49,78.42
176.89,84.36
,82.75
172.5,78.98
176.38,89.69
168.02,67.66
191.02,103.76
172.45,73.48
173.09,87.25
175.49,83.66
184.91,93.82
171.25,79.48
173.98,70.01
174.29,85.05
188.05,96.57
181.68,88.47
175.72,93.07
176.73,92.61
178.82,87.5
175.45,89.58
170.67,83.38
167.15,74.32
163.33,73.98
172.65,78.08
183.36,88.02
165.79,76.48
167.87,73.12
171.48,74.69
178.07,85.69
,84.85
183.32,94.83
,87.1
185.09,95.86
164.55,75.12
178.27,91.2
173.97,78.66
171.02,82.29
170.16,76.99
168.91,74.08
173.62,86.05
179.77,87.15
180.89,89.9
177.83,95.04
181.36,90.16
176.66,89.85
187.5,88.58
170.17,74.82
181.4,81.58
165.81,70.42
173.42,83.7
184.82,100.1
172.97,83.15
175,89.11
176,83.73
179.13,94.14
176.95,80.38
171.69,73.98
184.17,98.07
180.98,92.83
182.4,91.14
183.5,100.2
168.94,89.11
167.71,76.49
171.65,82.3
173.35,90.11
187.52,107.92
177.3,78.49
167.54,72.88
180.54,85.55
169.15,94.5
175.14,87.74
173.34,78.97
183.68,89.52
182.41,91.45
165.7,82.11
179.43,82.61
164.42,80.53
170.44,74.83
165.4,75.17
182.12,87.59
169.76,81.96
168.84,78.37
176.31,80.5
177.93,91.09
169.53,76.09
168.34,70.03
173.55,80.73
177.99,83.43
,81.29
171.59,71.93
168.28,75.52
175.72,78.01
171.73,79.09
176,85.16
173.2,91.39
181.88,92.95
175.76,81.05
170.85,74.4
187.16,101.27
176.62,92.06
173.51,85.91
172.06,80.82
182.13,101.29
161.63,75.76
174.55,81.86
170.05,74.59
159.28,68.03
183.54,87.5
180.11,91.57
171.73,81.59
